number	prefix	disposition	record
2	[RFC experiment]	blocked	https://github.com/kvnloo/cua/issues/2#issuecomment-5841479881 ; scripts/repro/handoff/issue-2-block.md ; excerpt: This Linux host is present. It is not the missing machine. ; pinned driver commit c5ee191c02b11448ffefcc38b78b064a87d8ef23 is not an installed release
3	[RFC experiment]	deliverable	https://github.com/kvnloo/cua/issues/3#issuecomment-5841162781 ; scripts/repro/handoff/issue-3-macos-trace.md ; excerpt: not a walk this Linux host ran
4	[RFC experiment]	blocked	https://github.com/kvnloo/cua/issues/4#issuecomment-5839566765 ; scripts/repro/handoff/issue-4-block.md ; excerpt: This Linux host is present. It is not the missing machine. ; pinned driver commit c5ee191c02b11448ffefcc38b78b064a87d8ef23 is not an installed release
5	[RFC experiment]	deliverable	https://github.com/kvnloo/cua/issues/5#issuecomment-5839870505 ; scripts/repro/handoff/issue-5-architecture.md ; excerpt: wall_time_ms
6	[RFC experiment]	blocked	https://github.com/kvnloo/cua/issues/6#issuecomment-5840228506 ; scripts/repro/handoff/issue-6-handoff.md ; excerpt: Missing machine: Windows
8	[RFC experiment]	blocked	https://github.com/kvnloo/cua/issues/8#issuecomment-5840562954 ; scripts/repro/handoff/issue-8-block.md ; excerpt: Missing machine: macOS
9	[RFC experiment]	deliverable	scripts/repro/handoff/issue-9-coverage.json ; excerpt: queued_cancel_enters_native
10	[RFC experiment]	blocked	https://github.com/kvnloo/cua/issues/10#issuecomment-5840228827 ; scripts/repro/handoff/issue-10-block.md ; excerpt: This Linux host is present. It is not the missing machine. ; pinned driver commit c5ee191c02b11448ffefcc38b78b064a87d8ef23 is not an installed release
11	[RFC experiment]	deliverable	https://github.com/kvnloo/cua/issues/11#issuecomment-5841843517 ; scripts/repro/handoff/issue-11-shadow.jsonl ; excerpt: skip_capture
12	[RFC experiment]	deliverable	https://github.com/kvnloo/cua/issues/12#issuecomment-5841844613 ; scripts/repro/handoff/issue-12-cases.jsonl ; excerpt: observe
13	[RFC experiment]	blocked	https://github.com/kvnloo/cua/issues/13#issuecomment-5840780095 ; scripts/repro/handoff/issue-13-block.md ; excerpt: Missing machine: macOS
14	[RFC experiment]	deliverable	https://github.com/kvnloo/cua/issues/14#issuecomment-5841888036 ; scripts/repro/handoff/issue-14-schema.md ; excerpt: field_value_equals
16	[RFC experiment]	deliverable	https://github.com/kvnloo/cua/issues/16#issuecomment-5841041213 ; scripts/repro/handoff/issue-16-matrix.tsv ; excerpt: not captured
17	[RFC experiment]	deliverable	scripts/repro/handoff/issue-17-transitions.json ; excerpt: same ref and generation
18	[RFC experiment]	blocked	https://github.com/kvnloo/cua/issues/18#issuecomment-5840563745 ; scripts/repro/handoff/issue-18-block.md ; excerpt: Missing machine: macOS
19	[RFC experiment]	blocked	https://github.com/kvnloo/cua/issues/19#issuecomment-5840781300 ; scripts/repro/handoff/issue-19-block.md ; excerpt: Missing machine: Windows
20	[RFC experiment]	deliverable	https://github.com/kvnloo/cua/issues/20#issuecomment-5839870885 ; scripts/repro/handoff/issue-20-classification.json ; excerpt: noisy hint
