id,feature,section,requirement,primary_architecture_owner,decision_view,architecture_status,acceptance_state,packages,remap_note,scope,smallest_delta_or_test,original_candidate_owners,new_public_contract_required,recorded_architecture_decision_required
R001,F-measurement,Phase 0,Do not change runtime behavior while adding Phase-0 instrumentation.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,"Compare calls, arguments, effects, waits and cleanup, not just timer outputs.",cua-4052 fork-1,false,false
R002,F-measurement,Phase 0,Record a monotonic whole-task root interval.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Keep independent completion-check time and cleanup-inclusive runner lifetime separate.,fork-1,false,false
R003,F-measurement,Phase 0,Record setup separately from warm execution.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Retain cold and warm arms rather than hiding startup outside the root.,fork-1,false,false
R004,F-measurement,Phase 0,Separate semantic observation and visual observation durations.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Reuse existing event log; no extra observations to measure observations.,cua-4052,false,false
R005,F-measurement,Phase 0,Separate candidate construction from provider decision latency.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Preserve existing decision_ms aggregate compatibility.,cua-4052,false,false
R006,F-measurement,Phase 0,"Record action, readiness wait, verification and reobservation separately.",caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Do not silently omit the trailing verification or screenshot path.,fork-1 C-expectation,false,false
R007,F-measurement,Phase 0,Retain an explicit residual for unexplained root time.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Use non-overlapping spans; never double-count nested parent and child durations.,fork-1 G0,false,false
R008,F-measurement,Phase 0,"Identify task, trial, arm and step on each relevant event.",caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Add missing identity fields locally; preserve replay linkage.,cua-4052 fork-1,false,false
R009,F-measurement,Phase 0,"Pin code, Driver, model and provider identity for comparisons.",caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,An old exact-head success does not certify a changed candidate.,cua-4052 cua-3961,false,false
R010,F-measurement,Phase 0,"Record backend, decision family, rung and candidate count.",caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Unimplemented gate families must not be reported as active.,cua-4052 cua-3961,false,false
R011,F-measurement,Phase 0,Record selected candidate and exposed decision distributions.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Keep identity/probability evidence without recording private UI payloads unnecessarily.,cua-3961,false,false
R012,F-measurement,Phase 0,Retain a naive one-action-per-decision baseline.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Do not compare only two already-optimized arms.,C-recipe,false,false
R013,F-measurement,Phase 0,Interleave comparable A/B and B/A task trials.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Use the same task corpus; retain failed and abstained trials.,fork-1,false,false
R014,F-measurement,Phase 0,Explain more than 90 percent of completed-task root time before promotion.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Decision-span accounting alone is insufficient; missing task root means gate unknown.,G0 fork-1,false,false
R015,F-measurement,Phase 0,"Report success, failure and abstention alongside latency.",caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P01,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,No survivor-only latency claim; preserve unsuccessful attempts in the evidence.,cua-4052 cua-3961,false,false
R016,F-rules,Phase 1A.1,"Keep exact deterministic routing in the caller, not Driver.",caller,L6,existing_boundary_documented_and_source_observed,not_requalified_this_pass,P02,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",Provider/candidate policy outside Driver; not proof every future caller complies.,Use the existing recipe boundary; no provider-specific Driver helper.,C-recipe cua-3931,false,false
R017,F-rules,Phase 1A.1,Short-circuit when the deterministic goal postcondition already holds.,caller,L6,present_in_current_fixture_source,not_requalified_this_pass,P02,Delete the duplicate implementation task. Preserve oracle-before-snapshot exit; measure firing and effect on task time.,Current Python/TypeScript fixture oracle shortcut only; not a general model completion head.,"Keep the existing early terminal return, add only missing outcome/avoided-work evidence in the existing measurement owner.",C-recipe C-expectation,false,false
R018,F-rules,Phase 1A.1,Select a sole valid candidate only when caller policy proves execution appropriate.,caller,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P02,One actionable option is not enough: prove a positive typed task precondition. Reserved abstain/reobserve can be correct; model scores do not authorize.,RFC target; exact feature qualification remains separate,"Use a goal-specific exact precondition; missing/ambiguous facts preserve abstention/fallthrough. The existing ExactRegionTextAction is a narrow example, not a shared engine.",C-recipe,false,false
R019,F-rules,Phase 1A.1,Treat an empty or invalid candidate set as abstain or reobserve.,caller,L6,partial_current_fixture_behavior,not_requalified_this_pass,P02,"Builder always appends reserved choices, so do not equate list length with executable-candidate availability. Existing branches abstain/reobserve; malformed external provider validation remains separate.",RFC target; exact feature qualification remains separate,Never manufacture a candidate to avoid a provider call.,C-recipe cua-3961,false,false
R020,F-rules,Phase 1A.1,Abstain or fall through when a local rule is uncertain.,caller,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P02,One actionable option is not enough: prove a positive typed task precondition. Reserved abstain/reobserve can be correct; model scores do not authorize.,RFC target; exact feature qualification remains separate,"Use a goal-specific exact precondition; missing/ambiguous facts preserve abstention/fallthrough. The existing ExactRegionTextAction is a narrow example, not a shared engine.",C-recipe,false,false
R021,F-rules,Phase 1A.1,Tag rule-produced decisions distinctly from model-produced decisions.,caller,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P02,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Measure actual rule hits rather than a logged but unused classifier.,cua-4052 cua-3961,false,false
R022,F-rules,Phase 1A.1,Measure model calls avoided and completed-task latency change.,caller,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P02,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,A rules branch must delete a provider invocation to count as a saving.,G0 C-recipe,false,false
R023,F-rules,Phase 1A.1,"Remove rules that rarely fire, regress correctness, or do not earn their cost.",caller,L6,owner_mapped_not_acceptance,not_requalified_this_pass,P02,"Use the existing ownership boundary; prior issue/PR links are inherited candidate homes, not fresh selections.",RFC target; exact feature qualification remains separate,Predeclare task corpus and removal criterion before judging success.,C-recipe,false,false
R024,F-done,Phase 1A.2,"Make accepted completion terminate the loop, not just annotate logs.",caller,L5,present_in_current_fixture_source,not_requalified_this_pass,P02,Delete the duplicate implementation task. Preserve oracle-before-snapshot exit; measure firing and effect on task time.,Current Python/TypeScript fixture oracle shortcut only; not a general model completion head.,"Keep the existing early terminal return, add only missing outcome/avoided-work evidence in the existing measurement owner.",C-recipe,false,false
R025,F-done,Phase 1A.2,Use a model completion answer as a proposal when a deterministic oracle exists.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P02,General/model completion is not the existing deterministic fixture shortcut. Keep as a separately scoped caller experiment; no Driver done service.,RFC target; exact feature qualification remains separate,The independent completion oracle remains authoritative.,C-recipe C-expectation,false,false
R026,F-done,Phase 1A.2,Distinguish unanswerable evidence from a negative goal verdict.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P02 P06,Split evidence domains: browser semantic content and fixture oracle are usable now; native passive observation follows its own accepted contract work. Remove a global native-blocks-browser edge.,RFC target; exact feature qualification remains separate,Missing passive display evidence must not become confident not-done.,cua-3903 cua-3915,false,false
R027,F-done,Phase 1A.2,Retain completion evidence independently from the actionable candidate projection.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P02 P06,Split evidence domains: browser semantic content and fixture oracle are usable now; native passive observation follows its own accepted contract work. Remove a global native-blocks-browser edge.,RFC target; exact feature qualification remains separate,Do not erase passive result text when shrinking action candidates.,cua-3903 cua-2969,false,false
R028,F-done,Phase 1A.2,Treat no-oracle thresholds as experimental caller policy.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P02,General/model completion is not the existing deterministic fixture shortcut. Keep as a separately scoped caller experiment; no Driver done service.,RFC target; exact feature qualification remains separate,Do not present a numeric threshold as calibrated correctness.,C-recipe cua-4013,false,false
R029,F-done,Phase 1A.2,Evaluate completion thresholds by decision family.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P02,General/model completion is not the existing deterministic fixture shortcut. Keep as a separately scoped caller experiment; no Driver done service.,RFC target; exact feature qualification remains separate,Current provider PR removed factorized heads; prepare a separately scoped follow-up.,cua-3961,false,false
R030,F-done,Phase 1A.2,"Report completion fire rate, false positives and whole steps saved.",caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P02,General/model completion is not the existing deterministic fixture shortcut. Keep as a separately scoped caller experiment; no Driver done service.,RFC target; exact feature qualification remains separate,Count work removed; retain cases where the gate wrongly proposes completion.,cua-4052 C-recipe,false,false
R031,F-done,Phase 1A.2,Stop retaining gates that predict but never change execution.,caller,L5,owner_mapped_not_acceptance,not_requalified_this_pass,P02,General/model completion is not the existing deterministic fixture shortcut. Keep as a separately scoped caller experiment; no Driver done service.,RFC target; exact feature qualification remains separate,Avoid adding classification latency with no branching benefit.,C-recipe,false,false
