issue	words	evidence
2	blocked	https://github.com/kvnloo/cua/issues/2#issuecomment-5841479881 ; scripts/repro/handoff/issue-2-block.md ; excerpt: This Linux host is present. It is not the missing machine. ; pinned driver commit c5ee191c02b11448ffefcc38b78b064a87d8ef23 is not an installed release
3	deliverable	https://github.com/kvnloo/cua/issues/3#issuecomment-5841162781 ; scripts/repro/handoff/issue-3-macos-trace.md ; excerpt: not a walk this Linux host ran
4	blocked	https://github.com/kvnloo/cua/issues/4#issuecomment-5839566765 ; scripts/repro/handoff/issue-4-block.md ; excerpt: This Linux host is present. It is not the missing machine. ; pinned driver commit c5ee191c02b11448ffefcc38b78b064a87d8ef23 is not an installed release
5	deliverable	https://github.com/kvnloo/cua/issues/5#issuecomment-5839870505 ; scripts/repro/handoff/issue-5-architecture.md ; excerpt: wall_time_ms
6	blocked	https://github.com/kvnloo/cua/issues/6#issuecomment-5840228506 ; scripts/repro/handoff/issue-6-handoff.md ; excerpt: Missing machine: Windows
8	blocked	https://github.com/kvnloo/cua/issues/8#issuecomment-5840562954 ; scripts/repro/handoff/issue-8-block.md ; excerpt: Missing machine: macOS
9	deliverable	scripts/repro/handoff/issue-9-coverage.json ; excerpt: queued_cancel_enters_native
10	blocked	https://github.com/kvnloo/cua/issues/10#issuecomment-5840228827 ; scripts/repro/handoff/issue-10-block.md ; excerpt: This Linux host is present. It is not the missing machine. ; pinned driver commit c5ee191c02b11448ffefcc38b78b064a87d8ef23 is not an installed release
11	deliverable	https://github.com/kvnloo/cua/issues/11#issuecomment-5841843517 ; scripts/repro/handoff/issue-11-shadow.jsonl ; excerpt: skip_capture
12	deliverable	https://github.com/kvnloo/cua/issues/12#issuecomment-5841844613 ; scripts/repro/handoff/issue-12-cases.jsonl ; excerpt: observe
13	blocked	https://github.com/kvnloo/cua/issues/13#issuecomment-5840780095 ; scripts/repro/handoff/issue-13-block.md ; excerpt: Missing machine: macOS
14	deliverable	https://github.com/kvnloo/cua/issues/14#issuecomment-5841888036 ; scripts/repro/handoff/issue-14-schema.md ; excerpt: field_value_equals
16	deliverable	https://github.com/kvnloo/cua/issues/16#issuecomment-5841041213 ; scripts/repro/handoff/issue-16-matrix.tsv ; excerpt: not captured
17	deliverable	scripts/repro/handoff/issue-17-transitions.json ; excerpt: same ref and generation
18	blocked	https://github.com/kvnloo/cua/issues/18#issuecomment-5840563745 ; scripts/repro/handoff/issue-18-block.md ; excerpt: Missing machine: macOS
19	blocked	https://github.com/kvnloo/cua/issues/19#issuecomment-5840781300 ; scripts/repro/handoff/issue-19-block.md ; excerpt: Missing machine: Windows
20	deliverable	https://github.com/kvnloo/cua/issues/20#issuecomment-5839870885 ; scripts/repro/handoff/issue-20-classification.json ; excerpt: noisy hint
21	deliverable	https://github.com/kvnloo/cua/issues/21#issuecomment-5841842537 ; scripts/repro/handoff/issue-21-comparison.json ; excerpt: production_skipping
23	deliverable	https://github.com/kvnloo/cua/issues/23#issuecomment-5841841559 ; scripts/repro/handoff/issue-23-goals.json ; excerpt: premature_stop
24	deliverable	scripts/repro/handoff/issue-24-battery.json ; excerpt: live_success
25	deliverable	https://github.com/kvnloo/cua/issues/25#issuecomment-5841839123 ; scripts/repro/handoff/issue-25-caps.json ; excerpt: wall_time_ms
27	deliverable	https://github.com/kvnloo/cua/issues/27#issuecomment-5841821679 ; scripts/repro/handoff/issue-27-matrix.tsv ; excerpt: include_accessibility_tree
28	deliverable	https://github.com/kvnloo/cua/issues/28#issuecomment-5841799755 ; scripts/repro/handoff/issue-28-note.md ; excerpt: optional_visual_observation
29	deliverable	https://github.com/kvnloo/cua/issues/29#issuecomment-5841836715 ; scripts/repro/handoff/issue-29-checklist.md ; excerpt: This branch adds no public field
30	deliverable	https://github.com/kvnloo/cua/issues/30#issuecomment-5841798649 ; scripts/repro/handoff/issue-30-transitions.md ; excerpt: run.py
31	deliverable	https://github.com/kvnloo/cua/issues/31#issuecomment-5841041622 ; scripts/repro/handoff/issue-31-manifest.json ; excerpt: historical_green_certifies
32	deliverable	https://github.com/kvnloo/cua/issues/32#issuecomment-5841822732 ; scripts/repro/handoff/issue-32-negative.md ; excerpt: Pretends success
33	deliverable	scripts/repro/handoff/issue-33-injections.json ; excerpt: response lost
34	deliverable	https://github.com/kvnloo/cua/issues/34#issuecomment-5841800887 ; scripts/repro/handoff/issue-34-privacy.md ; excerpt: SECRET-MARKER
35	deliverable	https://github.com/kvnloo/cua/issues/35#issuecomment-5841801869 ; scripts/repro/handoff/issue-35-budget.md ; excerpt: do not add a CI wall-clock gate
36	deliverable	scripts/repro/handoff/issue-36-sessions.json ; excerpt: concurrent_processes
37	deliverable	https://github.com/kvnloo/cua/issues/37#issuecomment-5841797635 ; scripts/repro/handoff/issue-37-fallback.md ; excerpt: visual
38	deliverable	https://github.com/kvnloo/cua/issues/38#issuecomment-5841042181 ; scripts/repro/handoff/issue-38-commands.json ; excerpt: generator_check
39	deliverable	https://github.com/kvnloo/cua/issues/39#issuecomment-5841813733 ; scripts/repro/handoff/issue-39-inventory.json ; excerpt: recipe-local
40	deliverable	scripts/repro/handoff/issue-40-semantic.json ; excerpt: one executable candidate
41	deliverable	https://github.com/kvnloo/cua/issues/41#issuecomment-5841838139 ; scripts/repro/handoff/issue-41-schema.md ; excerpt: Candidate envelope, unchanged
42	deliverable	https://github.com/kvnloo/cua/issues/42#issuecomment-5841814772 ; scripts/repro/handoff/issue-42-overlap.md ; excerpt: do not import each other
43	deliverable	https://github.com/kvnloo/cua/issues/43#issuecomment-5841815783 ; scripts/repro/handoff/issue-43-graph.md ; excerpt: does not import
44	deliverable	https://github.com/kvnloo/cua/issues/44#issuecomment-5841816755 ; scripts/repro/handoff/issue-44-routing.json ; excerpt: fast-path
45	deliverable	https://github.com/kvnloo/cua/issues/45#issuecomment-5841817588 ; scripts/repro/handoff/issue-45-ledger.tsv ; excerpt: not measured
46	deliverable	https://github.com/kvnloo/cua/issues/46#issuecomment-5841889526 ; scripts/repro/handoff/issue-46-projection.json ; excerpt: receipts
47	deliverable	https://github.com/kvnloo/cua/issues/47#issuecomment-5841889690 ; scripts/repro/handoff/issue-47-history.json ; excerpt: measured_success
48	deliverable	https://github.com/kvnloo/cua/issues/48#issuecomment-5841889913 ; scripts/repro/handoff/issue-48-parity.json ; excerpt: not run
49	deliverable	https://github.com/kvnloo/cua/issues/49#issuecomment-5841819744 ; scripts/repro/handoff/issue-49-spike.md ; excerpt: second harness
50	deliverable	https://github.com/kvnloo/cua/issues/50#issuecomment-5841820708 ; scripts/repro/handoff/issue-50-docs.md ; excerpt: unedited
51	deliverable	https://github.com/kvnloo/cua/issues/51#issuecomment-5841786836 ; scripts/repro/handoff/ownership.tsv ; excerpt: caller/recipe-local
52	deliverable	https://github.com/kvnloo/cua/issues/52#issuecomment-5841787918 ; scripts/repro/handoff/decision-table.tsv ; excerpt: BLOCKED
53	deliverable	https://github.com/kvnloo/cua/issues/53#issuecomment-5841217853 ; scripts/repro/handoff/issue-53-diagram.md ; excerpt: Not unified
54	deliverable	https://github.com/kvnloo/cua/issues/54#issuecomment-5841783972 ; scripts/repro/handoff/issue-54-recommendation.md ; excerpt: cap at 2
55	deliverable	https://github.com/kvnloo/cua/issues/55#issuecomment-5841773898 ; scripts/repro/handoff/issue-55-consumers.md ; excerpt: No new public field
56	deliverable	https://github.com/kvnloo/cua/issues/56#issuecomment-5841788966 ; scripts/repro/handoff/issue-56-architecture.md ; excerpt: does not add a service
57	deliverable	https://github.com/kvnloo/cua/issues/57#issuecomment-5841218654 ; scripts/repro/handoff/issue-57-dataflow.md ; excerpt: Reusable helpers: none
58	deliverable	https://github.com/kvnloo/cua/issues/58#issuecomment-5841219609 ; scripts/repro/handoff/issue-58-routing.md ; excerpt: Deleted: a second verifier type
59	deliverable	https://github.com/kvnloo/cua/issues/59#issuecomment-5841782884 ; scripts/repro/handoff/issue-59-contract.md ; excerpt: Caller guarded run
60	deliverable	https://github.com/kvnloo/cua/issues/60#issuecomment-5841775336 ; scripts/repro/handoff/sequences.md ; excerpt: stale refusal
61	deliverable	https://github.com/kvnloo/cua/issues/61#issuecomment-5841784924 ; scripts/repro/handoff/rfc-3963-delta.md ; excerpt: ## 1. North-star
62	deliverable	https://github.com/kvnloo/cua/issues/62#issuecomment-5841785856 ; scripts/repro/handoff/promotion-dag.json ; excerpt: READY NOW
63	blocked	https://github.com/kvnloo/cua/issues/63#issuecomment-5841776432 ; scripts/repro/handoff/issue-63-packet.md ; excerpt: Missing machine: Windows
